raw,canonical,context,category,needs_review,reason
Privatunterricht,,,exclusion,0,"means private tuition, not a place"
a. M.,,,exclusion,1,"review queue: 369 students; a bare river qualifier with no town attached. Probably means Frankfurt but that is not recoverable from the string alone, and it was resolving to 'A M B Lateral' at 8,423 km"
Freiburg,Freiburg im Breisgau,Baden-Württemberg,disambiguation,1,"bare 'Freiburg' in a German register means the Breisgau city (the Swiss city is written 'Freiburg Schweiz' when meant); needs_review: 5 students with region='Schweiz' almost certainly mean Fribourg CH and are collateral here"
Freiburg Schweiz,Fribourg,Switzerland,disambiguation,0,"register explicitly says Schweiz; without this the string matched the Bahnhof Freiburg-Wiehre, a railway station in the German Freiburg"
Freiburg i. Br.,Freiburg im Breisgau,Baden-Württemberg,orthography,0,abbreviation like the existing i. B. entry
Freiburg i Br,Freiburg im Breisgau,Baden-Württemberg,orthography,0,as above without punctuation
Westpreußen,Danzig,Pomeranian Voivodeship,territory_seat,0,"Prussian province; TGN holds no bare 'Westpreussen' subject (only 'Marienburg in Westpreussen' etc.), so the string fell to fuzzy and matched Westerhausen, a Saxony-Anhalt village, for 1,037 students. Danzig was the capital"
Westpreussen,Danzig,Pomeranian Voivodeship,territory_seat,0,ascii spelling of the above
Westpreuss.,Danzig,Pomeranian Voivodeship,territory_seat,0,abbreviated spelling of the above
Rheinkreis,Speyer,Rheinland-Pfalz,territory_seat,0,"the Bavarian Rhine Circle (Rheinkreis) is the Palatinate; TGN has no such term and the phonetic rung matched Rehaincourt in the Vosges. Speyer was the government seat"
bair. Rheinkreis,Speyer,Rheinland-Pfalz,territory_seat,0,as above with the Bavarian qualifier
bayr. Rheinkreis,Speyer,Rheinland-Pfalz,territory_seat,0,as above
Oldenb.,Oldenburg,Niedersachsen,orthography,0,"abbreviation; without this the phonetic rung matched Holdenby/Aldenby in England"
Oldenbg.,Oldenburg,Niedersachsen,orthography,0,as above
Westph.,Westphalen,Nordrhein-Westfalen,orthography,0,"abbreviation; phonetic margin 0.27 against unrelated villages"
Westph,Westphalen,Nordrhein-Westfalen,orthography,0,as above
Pr.,Preußen,Germany,orthography,1,"bare abbreviation in a German register means Preußen; needs_review: could rarely mean Posen province or 'parish', but 62 students and the phonetic match was Praha"
Brschw,Braunschweig,Niedersachsen,orthography,0,"abbreviation; phonetic matched Brashov in Romania"
Meckl.,Mecklenburg,Mecklenburg-Vorpommern,orthography,0,"abbreviation; phonetic matched 'Nueckel'"
Meckl. Strelitz,Neustrelitz,Mecklenburg-Vorpommern,territory_seat,0,"Mecklenburg-Strelitz abbreviations; seat was Neustrelitz"
Mecklb. Strelitz,Neustrelitz,Mecklenburg-Vorpommern,territory_seat,0,as above
Mecklenb. Strelitz,Neustrelitz,Mecklenburg-Vorpommern,territory_seat,0,as above
Württemberger,Württemberg,Baden-Württemberg,disambiguation,0,"demonym; resolves to the territory itself"
Würtemberger,Württemberg,Baden-Württemberg,disambiguation,0,archaic spelling of the demonym
O.A. Gmünd,Schwäbisch Gmünd,Baden-Württemberg,orthography,0,"'O.A.' = Oberamt; the bare string matched small Gmünds elsewhere"
O.A. Gmünd Württemberg,Schwäbisch Gmünd,Baden-Württemberg,orthography,0,as above without comma
"O.A. Gmünd, Württemberg",Schwäbisch Gmünd,Baden-Württemberg,orthography,0,comma-separated variant
Stadtsulza,Bad Sulza,Thüringen,orthography,0,"historical name of Bad Sulza (Weimar lay too near and won on the old fuzzy match)"
Stadt-Sulza,Bad Sulza,Thüringen,orthography,0,hyphenated variant
Eif,,,exclusion,0,"truncation of 'Eifel' region; TGN has no bare Eifel subject, so it cannot be corrected. The 45 students resolve through their other field"
Inländer,,,exclusion,0,"means domestic students, not a place"
Inländer Württemberg,,,exclusion,0,"same, with a region qualifier"
"Inländer, Württemberg",,,exclusion,0,comma-separated variant
Insel Rügen,Bergen auf Rügen,Mecklenburg-Vorpommern,disambiguation,0,"the island itself has no TGN subject; assigned to its chief town and county seat, which the gazetteer holds (7017181)"
